Time,ID,LOGCAP,LOGLAB_01,LOGPROD
1958,3322,5.95661427,1.016769246,1.520566336
1959,3322,5.975335165,1.344386728,1.902681337
1960,3322,6.043819777,1.232323969,1.78389819
1961,3322,6.123807734,1.156057129,1.73826667
1962,3322,6.171491807,1.310334712,1.899857578
1963,3322,6.209997486,1.335322246,1.931649678
1964,3322,6.298949247,1.455622117,1.983967783
1965,3322,6.443813241,1.55131504,2.209272102
1966,3322,6.544343407,1.579581566,2.235440805
1967,3322,6.633450004,1.511208921,2.210784816
1968,3322,6.679975999,1.513647214,2.226087598
1969,3322,6.728030348,1.419637578,2.097025611
1970,3322,6.810252698,1.349981221,1.975493974
1971,3322,6.819579588,1.400975105,1.981219308
1972,3322,6.864743388,1.502605327,2.122604048
1973,3322,6.91631851,1.550552178,2.131349626
1974,3322,6.974291803,1.394306137,2.087715888
1975,3322,6.984808908,1.132335163,1.937907167
1976,3322,7.031211083,1.204707442,2.077745153
1977,3322,7.033418297,1.249777997,2.067652495
1978,3322,7.040974123,1.21762312,2.048252213
1979,3322,7.060132959,1.063081558,1.868641253
1980,3322,7.060905458,0.672645412,1.427681875
1981,3322,7.039309719,0.517467796,1.342384254
1982,3322,6.995857727,0.044468893,0.881798825
1983,3322,6.952633038,-0.121725419,0.876602507
1984,3322,6.919288515,0.118762505,1.076052651
1985,3322,6.901636598,0.078964441,1.02439834
1986,3322,6.873681299,0.009299694,0.823851462
1987,3322,6.832923968,-0.256183405,0.59663628
1988,3322,6.795034409,-0.186557341,0.67166959
1989,3322,6.753321226,-0.095202485,0.776245201
1990,3322,6.72287044,-0.092341064,0.567819618
1991,3322,6.684361696,-0.246853171,0.299865375
1992,3322,6.636471352,-0.333746829,0.197852094
1993,3322,6.587687746,-0.268399996,0.254648359
1994,3322,6.537995095,-0.269796059,0.376226236
1958,3339,4.779123493,-0.958090293,0.593639302
1959,3339,4.798266816,-0.863056238,0.658606063
1960,3339,5.098646171,-0.378133832,1.146146272
1961,3339,5.296315364,-0.446873168,1.046941537
1962,3339,5.481888143,-0.278164793,1.158634264
1963,3339,5.572534188,-0.182603932,1.253058795
1964,3339,5.618950539,-0.286240382,1.135907901
1965,3339,5.712742216,-0.038266006,1.191473658
1966,3339,5.898800862,0.162760615,1.412824526
1967,3339,6.146757432,0.15895188,1.455367479
1968,3339,6.243584207,0.204794779,1.485327903
1969,3339,6.360092765,0.285035246,1.542318337
1970,3339,6.47604886,0.243727353,1.545479709
1971,3339,6.540163823,0.186300278,1.485007723
1972,3339,6.630155542,0.033188825,1.306626087
1973,3339,6.659550297,0.12327257,1.508035146
1974,3339,6.758558973,0.479851953,1.94850512
1975,3339,7.168733969,0.482580063,2.361350909
1976,3339,7.301620029,0.688000529,2.137680674
1977,3339,7.406103381,0.49396708,2.001659851
1978,3339,7.440381533,0.58454018,2.004130528
1979,3339,7.437088574,0.601453016,2.024296627
1980,3339,7.460490306,0.667775837,2.144996496
1981,3339,7.488293515,0.553146862,1.966782198
1982,3339,7.471818306,0.591366165,1.91773438
1983,3339,7.502572725,0.477446568,2.112820546
1984,3339,7.462961358,0.543645699,1.765490628
1985,3339,7.475905969,0.577260536,1.230004271
1986,3339,7.52972864,0.361679714,1.544629634
1987,3339,7.496818906,0.501381165,1.622946262
1988,3339,7.448333861,0.544891177,2.193161445
1989,3339,7.408894137,0.596406629,2.243603872
1990,3339,7.376320374,0.622207712,2.070541082
1991,3339,7.334525154,0.544318713,1.903388393
1992,3339,7.308140841,0.418358769,1.689766812
1993,3339,7.270243294,0.342724813,1.616673612
1994,3339,7.231576398,0.289366111,1.676567502
1958,3356,6.1459009,0.721710269,1.834163609
1959,3356,6.18929029,0.882849926,2.039841779
1960,3356,6.2433899,0.861422782,1.867772924
1961,3356,6.307551844,0.948836192,2.04207934
1962,3356,6.41934325,1.029680935,1.999795253
1963,3356,6.508172834,0.916008357,2.134450867
1964,3356,6.573959458,0.927857977,2.127220961
1965,3356,6.728628613,1.009350298,2.251697395
1966,3356,6.858039687,1.192572543,2.489578021
1967,3356,6.977094757,1.127899805,2.381516137
1968,3356,7.091242822,1.06675116,2.341745234
1969,3356,7.16919604,1.159446342,2.344457435
1970,3356,7.234032869,1.081717234,2.283152886
1971,3356,7.260100865,1.020859113,2.231403682
1972,3356,7.275380054,1.023115719,2.210563604
1973,3356,7.267595209,1.141898839,2.43256978
1974,3356,7.296752194,1.182131617,2.598489003
1975,3356,7.367645439,0.993166424,2.427464396
1976,3356,7.400925968,0.975221666,2.420267608
1977,3356,7.431181185,1.006053738,2.282918544
1978,3356,7.430647804,1.113848647,2.498556965
1979,3356,7.453156227,1.200834795,2.736865665
1980,3356,7.445826352,1.250435481,2.937540888
1981,3356,7.454430556,1.165893618,2.821534371
1982,3356,7.494485831,1.127279499,2.453500139
1983,3356,7.519583938,1.075353447,2.47025783
1984,3356,7.535616993,1.07382878,2.394074513
1985,3356,7.542107413,1.099019084,2.436803845
1986,3356,7.537483312,1.123771941,2.461184068
1987,3356,7.53689713,1.126551657,2.474772135
1988,3356,7.53790941,1.163542028,2.590029787
1989,3356,7.534281772,1.21722032,2.664690723
1990,3356,7.531605971,1.207478114,2.6005173
1991,3356,7.514854255,1.109655341,2.33012004
1992,3356,7.500197755,1.031694825,2.310854404
1993,3356,7.486669365,1.073221925,2.403104085
1994,3356,7.456454555,1.003169617,2.460509063
1958,3312,11.03343054,4.461534524,5.381494015
1959,3312,11.01640536,4.537688776,5.488518522
1960,3312,11.030778,4.575535107,5.477522681
1961,3312,11.0244678,4.525264755,5.422011383
1962,3312,11.01291119,4.542262069,5.41972951
1963,3312,11.01258963,4.580296408,5.534104094
1964,3312,11.03269371,4.682127676,5.64122827
1965,3312,11.05764176,4.737433315,5.72365745
1966,3312,11.08994587,4.725000791,5.723203776
1967,3312,11.12965131,4.640930731,5.613678342
1968,3312,11.15884572,4.673379463,5.611858749
1969,3312,11.1792916,4.703773961,5.624076505
1970,3312,11.18828476,4.633724233,5.51988681
1971,3312,11.18208673,4.555534467,5.493345271
1972,3312,11.17197622,4.641725977,5.526395843
1973,3312,11.16752106,4.761601175,5.686259235
1974,3312,11.17396694,4.819170806,5.91088616
1975,3312,11.18260586,4.631715584,5.556272519
1976,3312,11.19041728,4.717409154,5.60062153
1977,3312,11.19406503,4.74186127,5.576729014
1978,3312,11.19362613,4.807155686,5.727210231
1979,3312,11.19104525,4.841532144,5.744215136
1980,3312,11.1881201,4.676528073,5.534784455
1981,3312,11.18375868,4.674948395,5.521419077
1982,3312,11.16467352,4.281799822,4.9252072
1983,3312,11.14203423,4.088005567,4.937780814
1984,3312,11.11316704,4.12071612,5.063513468
1985,3312,11.08688666,3.999241228,4.900523902
1986,3312,11.04355843,3.879969101,4.854049052
1987,3312,11.00462,3.879995559,5.062892457
1988,3312,10.9761408,3.943955045,5.242445736
1989,3312,10.95741623,3.910583304,5.193737031
1990,3312,10.93803587,3.892135224,5.099358579
1991,3312,10.92488397,3.784590509,4.836557667
1992,3312,10.89759822,3.79414807,4.941252422
1993,3312,10.86199834,3.775748344,4.995251103
1994,3312,10.84116789,3.794107477,5.119145199
1958,3331,6.391246872,0.792327836,1.784857848
1959,3331,6.406219702,0.625020817,1.772995378
1960,3331,6.428912701,0.950401695,2.141042783
1961,3331,6.461468176,0.917562399,2.015253453
1962,3331,6.504138462,0.948521079,2.129915942
1963,3331,6.561172099,0.966018778,2.264834854
1964,3331,6.588238483,0.94866497,2.140596455
1965,3331,6.616868076,1.021170766,2.335929997
1966,3331,6.684236657,1.069844674,2.442168119
1967,3331,6.844389403,0.629611462,2.08936956
1968,3331,6.945243723,0.889492905,2.520988772
1969,3331,7.035796629,1.144341657,2.998847532
1970,3331,7.151642191,1.191322124,2.88009128
1971,3331,7.234249327,1.083851109,2.118860714
1972,3331,7.369789739,1.214742374,2.475945948
1973,3331,7.498758986,1.232710404,2.675583529
1974,3331,7.660397031,1.264369715,2.945126341
1975,3331,7.733377044,1.165507738,1.935392146
1976,3331,7.788791821,1.13587163,2.615975957
1977,3331,7.762596049,1.060021461,2.746199274
1978,3331,7.852011311,1.088165052,2.523894614
1979,3331,7.875309305,1.057424561,2.968474916
1980,3331,7.868407335,0.814125697,2.409977763
1981,3331,7.875005249,0.975164725,2.421200413
1982,3331,7.805963503,0.68236612,1.64015081
1983,3331,7.833956737,0.548254702,2.001434681
1984,3331,7.877283414,0.391384784,0.658481985
1985,3331,7.911470636,0.158408347,1.236750693
1986,3331,7.888859494,-0.084786745,0.696818822
1987,3331,7.83129964,-0.314710745,1.489302111
1988,3331,7.790406494,-0.2318571,1.942894621
1989,3331,7.727226693,-0.186320643,2.052787841
1990,3331,7.673455652,-0.007544527,2.107829024
1991,3331,7.629781419,-0.012039335,2.098226934
1992,3331,7.61638203,0.163305126,2.08020664
1993,3331,7.641708454,0.207519219,2.12062997
1994,3331,7.754395781,0.411642632,2.527033502
1958,3332,2.821378886,-0.718264242,0.263483707
1959,3332,2.87356464,-1.067468753,0.126141264
1960,3332,2.895911938,-0.9026583,0.337712936
1961,3332,3.0301337,-0.922296865,-0.000802305
1962,3332,3.254242969,-0.989494292,0.090598948
1963,3332,3.424262655,-0.973493397,-0.174539372
1964,3332,3.496507561,-0.894591025,0.445957314
1965,3332,3.62700405,-0.888959455,0.547635644
1966,3332,3.992680908,-0.790596818,0.723530915
1967,3332,4.522874943,-0.893498367,0.396169159
1968,3332,4.956531035,-0.738294146,0.595731786
1969,3332,5.212759478,-0.536522062,0.527857055
1970,3332,5.24807615,-0.441086446,0.742344869
1971,3332,5.352331955,-0.599628636,0.072465136
1972,3332,5.396351107,-0.708276933,1.143524577
1973,3332,5.422744945,-0.659486769,1.221884859
1974,3332,5.500441551,-0.648017742,1.433950968
1975,3332,5.497577977,-0.579621862,0.875203903
1976,3332,5.52744299,-0.499216361,1.027102616
1977,3332,5.649678216,-0.653119966,1.183427135
1978,3332,5.596939379,-0.46849016,0.811443471
1979,3332,5.735926928,-0.481817834,1.98367073
1980,3332,5.782901679,-0.520513989,0.824910703
1981,3332,5.824228628,-0.477044965,-2.372162947
1982,3332,5.854211954,-0.674771657,0.104236815
1983,3332,5.886659433,-0.787267334,0.220726721
1984,3332,5.84932478,-0.720531471,-0.127056649
1985,3332,5.864766894,-0.688889514,-0.664043515
1986,3332,5.924523141,-0.901901968,-0.351758018
1987,3332,5.876614705,-2.673648774,-1.061316504
1988,3332,5.810542011,-2.623673327,-0.490691018
1989,3332,5.761422254,-2.584215916,-0.440525247
1990,3332,5.717027701,-2.551045341,-0.613379262
1991,3332,5.66711849,-2.633735117,-0.781587293
1992,3332,5.629777061,-2.759139351,-0.994408555
1993,3332,5.584247906,-2.837673685,-1.06726734
1994,3332,5.538514672,-2.886874482,-1.007298807
1958,3333,6.046189447,0.155978254,0.944156713
1959,3333,6.058655797,0.177903199,1.049904011
1960,3333,6.058422015,0.184393166,1.195994078
1961,3333,6.058655797,0.210506788,1.068551021
1962,3333,6.040730788,0.229954469,0.956415857
1963,3333,6.082675427,0.199651944,1.203690429
1964,3333,6.083359812,0.282186036,1.560750047
